commit,kind,telemetry_sensitive_diff,retained_paths,absent_paths,classification,subject
9fc3212e72826e02113f1f369a02b1ac94765695,change,no,5,0,retained/mixed; audit merged runtime,Fix Kimi restore-of-restore binding kind decoding (#9397)
e7ca40e6e1998c3f59f8aaf9adafe27acc437792,change,no,7,0,retained/mixed; audit merged runtime,Preserve Pi resume identity across repeated restores (#9399)
ff3b4aa3cd0f7f0d6a42a4b57268eadb04eeb3e9,change,no,1,0,retained/mixed; audit merged runtime,Fix registry kind test fixture compilation (#9413)
33ac210ab4cc36642749701cbc3d3fec30af0934,change,yes,2,1,retained/mixed; audit merged runtime,Bump version to 0.64.21 (#9414)
b4c2163a37b823c5cbbe2ac39598e93802f2a762,change,no,2,2,retained/mixed; audit merged runtime,Fix noclobber 'cannot overwrite existing file' error from bash shell integration (#9420)
4de871173edd2971f59c7ed334d07a1c36f44823,change,no,2,0,retained/mixed; audit merged runtime,Preserve CLAUDE_SECURESTORAGE_CONFIG_DIR across agent restore (#9419)
7dff5ec4712d90adb92a34e8f8ba1bf164af507d,change,no,8,0,retained/mixed; audit merged runtime,Clear Dock notifications when focused (#9418)
a6ea6627a80bc359f64ced6ba43336251625e653,change,yes,11,1,retained/mixed; audit merged runtime,Add append-only cmux-tui session journal
4f738f2e80c8fc66d4df09163986592285b8f28a,change,no,1,0,retained/mixed; audit merged runtime,Make journal migration repeat-safe
b96c2b6156b2ade15843a882cb2fea53af116036,change,no,53,5,retained/mixed; audit merged runtime,Add durable journal subscriptions
d54ed30b9d154e20ff65c300dfdb94b8b71bf158,change,no,0,1,excluded or superseded paths,Test stale journal subscription negotiation
785498a4cf89c352dfa8a0dc2a3b10f95f41b8b7,change,no,2,0,retained/mixed; audit merged runtime,Negotiate journal support with resident sessions
96937e1934f850e505fb8b8817f699fd7204a425,change,no,2,0,retained/mixed; audit merged runtime,Test compiled journal regex filters
c567d31b52f853bacd5a017e55b317c2de81d212,change,no,17,1,retained/mixed; audit merged runtime,Add compiled journal regex filters
6a0417d8fa0a90f75c627e37181468b2814b8493,change,no,5,0,retained/mixed; audit merged runtime,Share decoded journal fanout across subscribers
1bfa8ab55f25cc8a28171beb8c5793d52cef0861,change,no,31,4,retained/mixed; audit merged runtime,Add extensible journal hooks and restoration primitives
884e8a79fc60fcf72f955d24b2b7a8e9245f0af7,change,no,3,0,retained/mixed; audit merged runtime,Test journal integrity and hook isolation
97ee0fed2555286f7f2781b95f80028a9b261def,change,no,4,0,retained/mixed; audit merged runtime,Harden journal integrity and hook isolation
